FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,LSOA21CD_1,RUC21CD,RUC21NM,Urban_rura,Shape_Leng,Shape__Are,Shape__Len,GlobalID_2,NormIMD,Tran_Dis,Tran_Dist,IMD_FID,IMD_LSOA21,IMD_LSOA_1,IMD_BNG_E,IMD_BNG_N,IMD_LAT,IMD_LONG,IMD_5min_C,IMD_HubDis,IMD_Distan,IMD_NormDi,IMD_Access,IMD_No Car,IMD_IMD Sc,IMD_NormIM,IMD_Income,IMD_Inco_1,IMD_Inco_2,IMD_Employ,IMD_Empl_1,IMD_Educat,IMD_Health,IMD_Barrie,IMD_Living,IMD_5min_1
3331,E01003490,Newham 019C,,541886,183488,51.5325,0.044217,233c0330-5f24-43aa-b485-02583ca87179,E01003490,UN1,Urban: Nearer to a major town or city,Urban,2092.72715,100644.3679,2092.72715,0b74ea16-92ec-48a8-96e5-038a1befbc80,0.57,0,1,3331,Newham 019C,,541886,183488,51.5325,0.044217,12,365.1892649,0.57,0.43,6.215,52,31,0.568123393,0.2,2,8969,0.1,5,23.3,-0.1,49.8,30.6,12
3357,E01003520,Newham 018A,,542150,184069,51.5376,0.048255,34619c5f-2560-4577-a9a9-08d8c8b1e6fe,E01003520,UN1,Urban: Nearer to a major town or city,Urban,2441.052702,130230.6204,2441.052702,ce9ca3eb-947a-41ac-bcaf-f21e36762a57,0.46,0,0,3357,Newham 018A,,542150,184069,51.5376,0.048255,56,104.7300347,0.15,0.85,28.425,51,26.7,0.457583548,0.1,4,7801,0.1,6,15.1,-0.6,50,27.2,56
3358,E01003521,Newham 018B,,542572,183804,51.5351,0.054228,3dc86957-72a5-4ad6-9357-fd58fcf6dfa1,E01003521,UN1,Urban: Nearer to a major town or city,Urban,2207.138077,136301.0823,2207.138077,d66ff8b7-7144-4591-82e9-360496fbcef9,0.5,0,0,3358,Newham 018B,,542572,183804,51.5351,0.054228,86,74.82980804,0.1,0.9,43.45,51,28.5,0.503856041,0.1,5,6064,0.1,8,13.2,-0.5,51,61.3,86
3359,E01003522,Newham 018C,,542194,183847,51.5356,0.048799,a49ea6bd-bd30-4b61-a1ae-4f787fa044db,E01003522,UN1,Urban: Nearer to a major town or city,Urban,1321.228795,78206.31834,1321.228795,b2890606-2133-4660-84c4-a2b46a7ecc3a,0.58,0,0,3359,Newham 018C,,542194,183847,51.5356,0.048799,27,207.1732284,0.31,0.69,13.845,51,31.4,0.57840617,0.2,3,5983,0.1,5,17.5,0,55.5,41.7,27
3361,E01003524,Newham 019D,,542046,183617,51.5336,0.046574,93b53e4c-8af2-455e-b638-8902b8d55002,E01003524,UN1,Urban: Nearer to a major town or city,Urban,1728.325196,88078.38318,1728.325196,060daa81-dc96-42d7-bbcf-73c12405b688,0.51,0,0,3361,Newham 019D,,542046,183617,51.5336,0.046574,45,164.2365294,0.24,0.76,22.88,52,28.6,0.506426735,0.1,4,10573,0.1,5,22.6,-0.7,49.4,49.4,45
3362,E01003525,Newham 018D,,542343,183605,51.5334,0.050849,55da863c-be9c-4540-9269-e061c13be263,E01003525,UN1,Urban: Nearer to a major town or city,Urban,2312.062608,129160.3486,2312.062608,70711478-8da8-4513-9be1-79610ae346c2,0.56,0,0,3362,Newham 018D,,542343,183605,51.5334,0.050849,86,22.47159208,0.01,0.99,43.495,51,30.7,0.560411311,0.1,4,11285,0.1,7,17.1,-0.8,50.5,51.3,86
3363,E01003526,Newham 018E,,542440,183342,51.531,0.05214,bab6e75f-95c2-4746-89da-54a6d70f9aca,E01003526,UN1,Urban: Nearer to a major town or city,Urban,2091.463336,107078.6944,2091.463336,bd8a7869-c5ed-4455-b800-174207bfc68c,0.54,0,0,3363,Newham 018E,,542440,183342,51.531,0.05214,61,169.8706087,0.25,0.75,30.875,51,30.1,0.544987147,0.2,3,10320,0.1,5,17.3,0.1,51.5,36.3,61
3360,E01003523,Newham 024A,,542718,183164,51.5294,0.056073,f392b6fe-68f4-492c-977f-459db106825e,E01003523,UN1,Urban: Nearer to a major town or city,Urban,2776.29239,205482.5934,2776.29239,30f9a0ab-8c50-4dfb-927b-926594019b5e,0.58,0,0,3360,Newham 024A,,542718,183164,51.5294,0.056073,80,72.20739162,0.09,0.91,40.455,41.9,31.5,0.580976864,0.2,3,10825,0.1,4,17.8,0.1,50.5,31.8,80
3379,E01003542,Newham 024D,,542955,182907,51.527,0.059383,9dada3ff-cd1c-4a20-ad30-05bd18e6ec86,E01003542,UN1,Urban: Nearer to a major town or city,Urban,2538.004715,134232.7686,2538.004715,9e3b58bf-bfdd-4b08-ae25-04a1d8955651,0.61,0,0,3379,Newham 024D,,542955,182907,51.527,0.059383,79,122.7280733,0.17,0.83,39.915,41.9,32.8,0.614395887,0.2,2,11454,0.1,3,21.6,0.2,47.1,30,79
3365,E01003528,Newham 005A,,542962,184844,51.5444,0.060269,4e5cd327-9295-4026-84c7-1aeeaf70aecf,E01003528,UN1,Urban: Nearer to a major town or city,Urban,1965.712803,79663.2829,1965.712803,aeed9571-ea5c-4bee-a640-1094b49016cc,0.55,0,0,3365,Newham 005A,,542962,184844,51.5444,0.060269,31,232.7511477,0.36,0.64,15.82,44.9,30.4,0.552699229,0.2,2,14855,0.1,4,20,-0.3,55.1,21.1,31
