LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01003574,Newham 017D,E09000025,Newham,"8,339",3,"7,772",3,"13,821",5,"15,496",5,"17,373",6,"14,444",5,288,1,"5,939",2
E01003575,Newham 005B,E09000025,Newham,"8,100",3,"6,952",3,"10,617",4,"9,966",4,"22,512",7,"11,936",4,696,1,"11,436",4
E01003576,Newham 002A,E09000025,Newham,"4,849",2,"5,062",2,"7,501",3,"10,648",4,"11,586",4,"4,561",2,340,1,"9,277",3
E01003577,Newham 005C,E09000025,Newham,"4,012",2,"3,961",2,"6,025",2,"11,669",4,"7,878",3,"7,927",3,92,1,"9,420",3
E01003578,Newham 003A,E09000025,Newham,"10,059",4,"12,550",4,"22,295",7,"11,271",4,"19,540",6,"9,118",3,396,1,"4,860",2
E01003579,Newham 004A,E09000025,Newham,"8,778",3,"10,513",4,"13,998",5,"8,833",3,"17,660",6,"15,529",5,723,1,"5,267",2
E01003580,Newham 005D,E09000025,Newham,"6,741",3,"6,907",3,"10,353",4,"10,484",4,"19,010",6,"12,131",4,289,1,"5,314",2
E01003581,Newham 002B,E09000025,Newham,"9,714",3,"10,807",4,"16,445",6,"10,972",4,"22,713",7,"13,158",5,346,1,"6,883",3
E01003582,Newham 002C,E09000025,Newham,"7,600",3,"6,823",3,"10,721",4,"9,944",4,"19,104",6,"13,537",5,594,1,"8,618",3
E01003583,Newham 002D,E09000025,Newham,"8,779",3,"8,742",3,"14,513",5,"13,067",4,"15,653",5,"16,721",6,591,1,"5,363",2
