LSOA code,local authority name,local authority code,All usual residents,White British,White Irish,White Gypsy/Irish Traveller,White Roma,White Other,Mixed White and Asian,Mixed White and Black African,Mixed White and Black Caribbean,Mixed Other,Asian Bangladeshi,Asian Chinese,Asian Indian,Asian Pakistani,Asian Other,Black African,Black Caribbean,Black Other,Other Arab,Other Any other,White British%,White%,Asian%,Black%
E01003582,Newham,E09000025,1598,148,14,5,9,96,7,20,25,11,489,11,133,175,84,212,64,30,11,54,9.26,17.02,55.82,19.15
E01003583,Newham,E09000025,2095,110,11,3,14,254,55,4,21,31,455,17,227,285,126,288,72,30,7,85,5.25,18.71,52.98,18.62
E01003584,Newham,E09000025,1902,392,16,2,3,184,28,19,18,30,467,11,231,179,38,102,91,24,16,51,20.61,31.39,48.69,11.41
E01003585,Newham,E09000025,1631,77,7,0,2,137,3,14,8,21,758,3,224,141,53,48,47,23,19,46,4.72,13.67,72.29,7.23
E01003586,Newham,E09000025,1834,128,3,0,15,164,12,10,12,23,594,3,329,210,56,102,70,20,9,74,6.98,16.9,64.99,10.47
E01003587,Newham,E09000025,2488,235,16,7,14,262,32,18,11,32,677,12,274,335,73,218,77,50,12,133,9.45,21.46,55.1,13.87
E01003588,Newham,E09000025,1560,70,12,4,21,153,15,6,8,5,410,2,241,342,37,101,51,14,14,54,4.49,16.67,66.15,10.64
E01003589,Newham,E09000025,1847,111,4,0,5,229,12,14,5,15,307,12,465,344,103,72,42,9,12,86,6.01,18.9,66.65,6.66
E01003590,Newham,E09000025,1609,333,4,0,13,169,24,11,21,21,329,1,130,82,56,155,156,42,28,34,20.7,32.26,37.17,21.94
E01003591,Newham,E09000025,2258,165,18,2,4,208,12,11,10,33,747,4,240,224,60,270,72,31,40,107,7.31,17.58,56.47,16.52
E01003592,Newham,E09000025,1886,304,19,1,11,211,20,16,13,27,391,25,177,120,125,230,69,37,8,82,16.12,28.95,44.43,17.82
E01003593,Newham,E09000025,1512,271,10,0,13,220,9,26,26,13,297,33,40,82,58,238,65,39,26,46,17.92,33.99,33.73,22.62
E01003594,Newham,E09000025,1822,232,7,0,6,329,20,17,43,17,254,37,77,187,84,287,86,38,14,87,12.73,31.5,35.07,22.56
E01003595,Newham,E09000025,1802,294,14,0,8,296,10,21,12,25,237,23,72,123,132,298,98,41,22,76,16.32,33.96,32.57,24.25
E01003596,Newham,E09000025,1713,235,9,0,16,226,19,15,33,26,336,17,238,121,30,136,135,43,24,54,13.72,28.37,43.32,18.33
E01003597,Newham,E09000025,2182,168,2,0,1,230,16,10,21,11,369,10,301,495,54,201,121,81,10,81,7.7,18.38,56.32,18.47
E01003598,Newham,E09000025,1893,245,9,0,7,206,6,43,28,37,402,9,120,104,58,364,124,55,18,58,12.94,24.67,36.61,28.68
E01003599,Newham,E09000025,1644,144,3,1,6,152,6,6,8,25,546,66,110,167,101,162,51,38,6,46,8.76,18.61,60.22,15.27
E01003600,Newham,E09000025,1639,235,16,1,5,220,5,4,21,34,334,46,62,60,111,287,84,38,12,64,14.34,29.1,37.4,24.95
E01003601,Newham,E09000025,2202,458,6,2,21,274,25,22,41,39,407,27,94,107,102,318,120,41,19,79,20.8,34.56,33.47,21.75
E01003602,Newham,E09000025,2189,282,9,1,18,441,16,30,12,25,321,14,92,168,102,390,119,44,21,84,12.88,34.31,31.84,25.26
E01003603,Newham,E09000025,1950,318,14,0,3,278,22,17,27,32,272,29,110,189,168,210,80,35,18,128,16.31,31.44,39.38,16.67
E01003604,Newham,E09000025,2290,424,7,6,17,369,12,28,35,49,340,21,90,105,151,329,94,58,22,133,18.52,35.94,30.87,21
E01003605,Newham,E09000025,2085,242,8,0,19,201,6,12,23,22,482,19,132,269,146,266,110,42,4,82,11.61,22.54,50.26,20.05
E01003607,Newham,E09000025,1890,246,6,7,19,323,15,24,40,37,307,10,83,119,142,193,88,40,28,163,13.02,31.8,34.97,16.98
E01003608,Newham,E09000025,2030,385,18,0,13,374,21,16,28,36,306,17,90,132,158,169,78,32,25,132,18.97,38.92,34.63,13.74
E01003611,Newham,E09000025,1969,313,8,2,15,197,17,54,35,43,195,23,36,64,44,625,92,96,21,89,15.9,27.17,18.38,41.29
E01003615,Newham,E09000025,1703,310,7,0,13,326,15,14,29,17,228,24,133,112,43,219,88,49,17,59,18.2,38.52,31.71,20.9
E01003616,Newham,E09000025,1839,305,15,4,23,411,19,16,16,32,339,21,77,45,42,210,148,33,29,54,16.59,41.22,28.49,21.26
E01003618,Newham,E09000025,2258,468,24,3,35,553,13,18,55,39,325,41,107,58,89,167,99,32,29,103,20.73,47.96,27.46,13.2
E01003619,Newham,E09000025,2486,430,10,9,27,352,32,50,44,61,275,147,113,103,75,418,136,61,31,112,17.3,33.31,28.68,24.74
E01003621,Newham,E09000025,1654,139,5,4,9,187,4,6,5,31,226,3,228,223,293,72,55,29,4,131,8.4,20.8,58.83,9.43
E01003622,Newham,E09000025,1821,152,4,2,14,195,20,7,11,19,324,13,190,263,206,190,75,30,18,88,8.35,20.15,54.7,16.2
E01003623,Newham,E09000025,1757,216,9,7,9,171,18,6,19,17,430,9,184,219,121,169,61,22,0,70,12.29,23.45,54.81,14.34
E01003624,Newham,E09000025,1687,240,11,3,0,197,23,17,18,21,393,5,154,167,111,132,65,28,10,92,14.23,26.73,49.2,13.34
E01003625,Newham,E09000025,1682,164,8,4,6,204,16,14,9,21,274,22,316,175,204,80,38,17,7,103,9.75,22.95,58.92,8.03
E01003626,Newham,E09000025,1684,173,1,13,11,135,11,2,3,12,224,6,416,177,305,48,18,9,1,119,10.27,19.77,66.98,4.45
E01003627,Newham,E09000025,1527,73,0,0,12,157,9,8,3,15,215,12,299,269,264,71,28,13,5,74,4.78,15.85,69.35,7.33
