FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,Shape_Leng,Shape__Are,Shape__Len,5min Bus Accessibility_LONG,Coverage_p,HubDist,Distance,NormDist,Accessibility Index,No Car or vans in household(%),IMD_Rank,IMD_Decile,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,IMD_Shape__Area,IMD_Shape__Length
3396,E01003559,Newham 009D,,539403,184822,51.5451,0.008972,0652f86a-563f-4c65-b4b7-2d83016840a9,2542.630518,154925.4576,2542.630518,0.008972,90,77.90378583,0.1,0.9,45.45,58.9,13767,5,20.714,13767,5,0.104,15700,5,0.058,21953,7,8.585,23328,8,-0.109,17711,6,0.299,11942,4,401351.5256,3810.625451
3366,E01003529,Newham 010A,,542389,184738,51.5436,0.051969,14922776-c369-40be-bff7-746a64787f4b,2070.172669,117871.1451,2070.172669,0.051969,83,117.298754,0.17,0.83,41.915,43.6,11784,4,23.37,11784,4,0.149,10573,4,0.067,19467,6,14.846,17463,6,-0.669,25575,8,-0.149,18878,6,302816.6633,3157.351281
3367,E01003530,Newham 010B,,542756,184705,51.5432,0.057244,72baffb8-0cca-457f-952c-48f8611f9c6d,1615.823317,120731.1654,1615.823317,0.057244,48,180.2725442,0.27,0.73,24.365,43.6,12818,4,21.945,12818,4,0.142,11285,4,0.07,18667,6,13.855,18288,6,-0.558,24153,8,-0.099,18119,6,307419.0233,2481.343118
3368,E01003531,Newham 010C,,542070,184413,51.5407,0.047241,c0882768-10c7-45af-bb93-d65624ff3fb2,2412.356332,222401.0347,2412.356332,0.047241,70,92.54768373,0.13,0.87,35.435,43.6,8410,3,29.192,8410,3,0.183,7802,3,0.086,15096,5,14.232,17961,6,-0.307,20759,7,0.808,5326,2,578244.8233,3643.731189
3369,E01003532,Newham 010D,,542506,184504,51.5415,0.05356,648e0129-436c-4231-a9a4-92dc7b45d9db,1746.925609,111865.9545,1746.925609,0.05356,95,86.42842079,0.12,0.88,47.94,43.6,10613,4,25.259,10613,4,0.152,10320,4,0.069,18965,6,11.321,20596,7,-0.555,24131,8,0.546,8449,3,286893.8273,2621.065963
3371,E01003534,Newham 010E,,542433,185053,51.5464,0.05273,4a9aacf2-f8e4-475d-81aa-28b7fce7474e,1817.606305,137215.3385,1817.606305,0.05273,58,209.8462163,0.32,0.68,29.34,43.6,10661,4,25.169,10661,4,0.146,10825,4,0.076,17239,6,19.488,14091,5,-0.558,24160,8,-0.078,17808,6,355978.4046,2825.122158
3370,E01003533,Newham 011A,,541735,184264,51.5395,0.042354,88548508-ee95-4fbf-a337-9dc854e19183,1946.087911,114452.16,1946.087911,0.042354,81,104.8551873,0.15,0.85,40.925,40.9,9258,3,27.567,9258,3,0.158,9813,3,0.089,14503,5,16.616,16104,5,-0.221,19454,6,0.354,11103,4,291898.6369,3015.317505
3397,E01003560,Newham 011B,,541506,184826,51.5446,0.03928,eda7bbd6-6404-4f1f-86f8-311bde89f7c6,1258.543549,79389.43534,1258.543549,0.03928,40,177.0290134,0.26,0.74,20.37,40.9,9022,3,28.024,9022,3,0.177,8277,3,0.102,12167,4,21.031,13118,4,-0.378,21836,7,-0.085,17916,6,201855.6779,1915.640059
3400,E01003563,Newham 011C,,541583,184562,51.5422,0.040283,ce7704c7-7a42-4df5-8d2e-e152e11d008a,1413.378818,91063.65065,1413.378818,0.040283,40,200.7040778,0.3,0.7,20.35,40.9,9532,3,27.104,9532,3,0.165,9162,3,0.082,15834,5,25.579,10530,4,-0.538,23899,8,-0.002,16712,6,231400.3891,2102.980731
3425,E01003588,Newham 011D,,541794,184904,51.5452,0.043461,c6e0b592-b250-40b8-926c-52d0f925bca5,1762.341287,74496.91395,1762.341287,0.043461,17,317.7081673,0.49,0.51,8.755,40.9,8411,3,29.189,8411,3,0.183,7842,3,0.094,13610,5,19.016,14388,5,0.017,15745,5,-0.013,16889,6,191878.411,2765.378116
