FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,Points to Stations_HubDist,Points to Stations_Distance,Points to Stations_NormDist,Accessibility Index,No Car or vans in household(%),Index of Multiple Deprivation (IMD) Score,Income Score (rate),Income Decile,Employment Decile,Education Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score,Income Rank
3326,E01003485,Newham 035C,,542352,181536,51.5148,0.050143,3.74,751.5448703,0.47,0.53,2.135,39.9,24.1,0.1,4,6,14.8,-0.1,49.3,19,12691
3327,E01003486,Newham 033C,,543008,181564,51.5149,0.059602,94.4,109.0056304,0.06,0.94,47.67,45.9,47.8,0.3,1,1,27.8,0.6,48.6,21.5,2412
3377,E01003540,Newham 029C,,542904,182348,51.522,0.058422,,807.4996779,0.5,0.5,0.25,40.6,38.7,0.2,2,3,25.1,0.4,54.1,41.8,5655
3378,E01003541,Newham 029D,,542406,182246,51.5212,0.051207,,1027.400787,0.64,0.36,0.18,40.6,27.2,0.2,4,6,18.8,-0.4,54.7,29.1,10036
3380,E01003543,Newham 001A,,540727,185689,51.5526,0.028398,99.83,136.5057338,0.08,0.92,50.375,47.7,23.2,0.1,4,5,9.8,-0.1,47.1,26.8,11312
3384,E01003547,Newham 007A,,541032,185709,51.5527,0.032803,47.16,474.3780742,0.29,0.71,23.935,41.1,18.9,0.1,5,5,9.2,-0.5,41.2,27.1,16025
3421,E01003584,Newham 003B,,541552,185627,51.5518,0.040265,67.5,424.9708642,0.26,0.74,34.12,45.7,29.5,0.2,3,4,12.5,-0.1,46,29.2,7984
3381,E01003544,Newham 001B,,539998,185584,51.5518,0.017849,64.23,403.4568005,0.25,0.75,32.49,47.7,28.7,0.1,4,6,21,0.1,47.8,39.7,12097
3383,E01003546,Newham 001C,,540377,185589,51.5517,0.023314,95.64,216.5710864,0.13,0.87,48.255,47.7,33.5,0.2,2,4,17.7,0.3,49.8,25.2,6527
3339,E01003499,Newham 030A,,540410,182453,51.5235,0.02254,,887.7555224,0.55,0.45,0.225,58.7,40.6,0.2,2,3,22.4,0.5,50.2,34.7,4182
3445,E01003611,Newham 041C,,543253,179952,51.5004,0.062476,100,183.6995465,0.11,0.89,50.445,48.8,31.4,0.2,2,3,18.5,0.2,45.5,15.6,4096
31671,E01033581,Newham 041A,,543164,180295,51.5035,0.061334,92.72,340.5059579,0.21,0.79,46.755,48.8,34.9,0.2,3,4,14.2,0.5,56.1,22.4,7001
31672,E01033582,Newham 041B,,543829,179993,51.5006,0.070785,17.7,691.8965603,0.43,0.57,9.135,48.8,14.6,0,9,10,6.8,-0.6,51.8,23.9,28743
3385,E01003548,Newham 006B,,539429,185445,51.5507,0.009593,43.31,550.380568,0.34,0.66,21.985,53.7,22.3,0.1,5,7,15.9,-0.5,48.4,29.2,13715
3446,E01003615,Newham 039A,,538925,185401,51.5504,0.002312,44.66,505.6581521,0.31,0.69,22.675,66.2,27.3,0.2,3,5,12.3,0.2,47.2,33.4,9222
3447,E01003616,Newham 012A,,539048,185067,51.5474,0.003952,81.48,273.5355166,0.17,0.83,41.155,67,29.4,0.2,3,5,16.7,0.2,45.3,29.9,9201
3322,E01003480,Newham 033A,,543539,180983,51.5095,0.067013,100,167.6064877,0.1,0.9,50.45,39.9,24,0.1,4,6,22.1,-0.3,53,19.1,12609
3323,E01003481,Newham 035B,,542903,181059,51.5104,0.057885,100,192.2470768,0.11,0.89,50.445,39.9,28.6,0.2,4,4,19.4,0.3,64.2,15.5,9860
3328,E01003487,Newham 033D,,543528,181458,51.5138,0.067048,75.44,391.3985803,0.24,0.76,38.1,45.9,43.6,0.3,1,1,29,0.7,48.2,17,2261
3441,E01003604,Newham 031D,,540918,181954,51.5189,0.029658,,1019.006545,0.64,0.36,0.18,53.3,35.7,0.2,3,4,21.2,0.3,49.7,41.5,6595
3387,E01003550,Newham 001D,,540300,185913,51.5547,0.022333,89.77,340.1597573,0.21,0.79,45.28,47.7,27,0.2,3,5,15.4,-0.3,50.8,35,8876
3382,E01003545,Newham 006A,,539867,185291,51.5492,0.015845,31.48,550.2975327,0.34,0.66,16.07,53.7,27.2,0.1,4,5,14.4,0.1,49.3,24,10612
3372,E01003535,Newham 023A,,543827,182989,51.5275,0.071978,,1594.100169,1,0,0,42.4,42.6,0.3,2,2,32.2,0.5,53.1,30,3655
3453,E01003624,Newham 024E,,543079,183374,51.5312,0.061359,,1127.108445,0.7,0.3,0.15,41.9,31.6,0.2,3,3,23.4,0.1,47.3,26.6,6936
3342,E01003502,Newham 030C,,539982,181959,51.5192,0.016179,30.29,613.8445487,0.38,0.62,15.455,58.7,36.5,0.2,2,4,21.3,0,49.5,36.8,4987
