FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,Shape_Leng,Shape__Are,Shape__Len,5min Bus Accessibility_LONG,Coverage_p,HubDist,Distance,NormDist,Acc,No Car or vans in household(%),IMD_Rank,Decile,IMDScore
32243,E01034204,Newham 025F,,541941,183202,51.5299,0.044894,609916f3-3eed-490f-b226-98864b719fcf,1466.983303,93534.62939,1466.983303,0.044894,45,174.4926599,0.26,0.74,22.87,41.9,9393,3,27.328
3431,E01003594,Newham 026A,,540164,182948,51.5281,0.019193,f7ef18e7-0875-494d-9a43-44d6019cec37,2251.880436,115949.3788,2251.880436,0.019193,79,214.5564381,0.33,0.67,39.835,51.4,8396,3,29.213
3432,E01003595,Newham 026B,,540420,183102,51.5294,0.022943,70b0d78a-2f12-4842-b23f-4a4ac9e3566e,1967.200314,92474.18372,1967.200314,0.022943,84,116.4982109,0.16,0.84,42.42,51.4,8140,3,29.76
3439,E01003602,Newham 026C,,540730,182460,51.5235,0.027152,aedc0e5b-4db5-4133-a57d-34b3750ef751,1979.284501,119266.5585,1979.284501,0.027152,92,103.1106057,0.14,0.86,46.43,51.4,10115,4,26.11
3443,E01003607,Newham 026D,,540705,182910,51.5276,0.026972,cd5f5415-ceda-4cee-ab47-94b088e8435e,1619.982393,125691.7658,1619.982393,0.026972,97,41.44954196,0.04,0.96,48.98,51.4,7786,3,30.506
3336,E01003496,Newham 027A,,539439,182881,51.5276,0.008723,be225b8c-7eee-486c-b5d8-c110003078a9,1895.383322,189437.6419,1895.383322,0.008723,28,279.8043065,0.43,0.57,14.285,54.5,8737,3,28.548
3338,E01003498,Newham 027B,,539913,182682,51.5257,0.015472,e452dd50-d05d-4836-9bb9-55ff72aa423e,3222.218106,233096.3287,3222.218106,0.015472,71,87.63717392,0.12,0.88,35.94,54.5,6586,3,33.218
3340,E01003500,Newham 027C,,539039,182529,51.5246,0.002821,ceed940e-0235-43be-9f78-70df3b15176b,5801.504342,741747.0923,5801.504342,0.002821,40,109.9033962,0.15,0.85,20.425,54.5,6133,2,34.325
3430,E01003593,Newham 027D,,539917,183105,51.5295,0.015697,78cb3e1b-e062-40b0-b3e2-56dcfac67a74,1425.84651,108849.6519,1425.84651,0.015697,58,151.9671858,0.22,0.78,29.39,54.5,6804,3,32.672
3438,E01003601,Newham 028A,,541151,182162,51.5207,0.033097,f5a4993b-6f45-4ead-ad37-23cbbe078cc1,3742.678535,353575.0436,3742.678535,0.033097,65,95.29722624,0.13,0.87,32.935,47.1,5153,2,37.186
3440,E01003603,Newham 028B,,541403,182628,51.5249,0.036914,56ec691e-929a-4df9-9a20-7eeef208ad89,2728.182523,202894.642,2728.182523,0.036914,77,161.7967738,0.24,0.76,38.88,47.1,12180,4,22.804
