LSOA21CD,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
E01003485,"5","5",5472.766,66345.324,60872.558,150736.881,30147.3762,29723.113,22142.3395173583,5472.766,5472.766,9259.758,39935.92,30676.162
E01003486,"7","7",3048.181,72698.018,69649.837,218647.936,31235.4194285714,19546.076,23499.1487757435,3048.181,3048.181,13742.449,47935.3815,34192.9325
E01003540,"5","5",7091.933,64117.719,57025.786,207794.871,41558.9742,40800.762,20692.9127135462,7091.933,7091.933,34414.206,61370.251,26956.045
E01003541,"5","5",2373.76,88294.212,85920.452,160963.498,32192.6996,7664.035,35203.5649425876,2373.76,2373.76,3416.708,59214.783,55798.075
E01034205,"12","12",1938.546,523005.546,521067,1469211.974,122434.331166667,42478.558,156383.141203275,1938.546,1938.546,9981.645,209401.024,199419.379
E01003543,"6","6",33.953,38008.583,37974.63,146223.489,24370.5815,30463.087,13240.8202740327,33.953,33.953,13677.692,33577.087,19899.395
E01003547,"3","3",1311.149,22042.789,20731.64,27986.232,9328.744,4632.294,9091.85372459966,1311.149,1311.149,2971.7215,13337.5415,10365.82
E01003584,"6","6",35.891,83428.793,83392.902,209884.083,34980.6805,36014.566,29079.4334099485,35.891,35.891,2644.606,51745.661,49101.055
E01003544,"6","6",244.209,41352.564,41108.355,114302.663,19050.4438333333,17038.793,12965.7622551707,244.209,244.209,10981.237,27647.067,16665.83
E01003546,"5","5",13206.1,41926.602,28720.502,116243.801,23248.7602,21199.327,10336.8200310081,13206.1,13206.1,14540.804,25370.968,10830.164
E01003499,"8","8",450.309,53304.255,52853.946,170494.278,21311.78475,23618.7935,16148.55035727,450.309,450.309,5962.8415,28788.222,22825.3805
E01003611,"6","6",232.901,48943.87,48710.969,150012.366,25002.061,26026.034,19068.8792327133,232.901,232.901,6152.874,42630.653,36477.779
E01033581,"10","10",2341.707,410732.67,408390.963,1266195.011,126619.5011,55315.827,148442.899177872,2341.707,2341.707,5752.742,247530.744,241778.002
E01033582,"7","7",3168.313,148569.33,145401.017,357841.474,51120.2105714286,44847.564,45373.3601263448,3168.313,3168.313,20308.583,60319.5505,40010.9675
E01003548,"7","7",794.98,34486.385,33691.405,128884.184,18412.0262857143,21323.484,11775.2178219943,794.98,794.98,8443.5095,27696.158,19252.6485
E01003615,"4","4",2719.574,57692.111,54972.537,108052.015,27013.00375,23820.165,19705.9253014923,2719.574,2719.574,12832.9515,41193.056,28360.1045
E01003616,"6","6",8641.052,37782.858,29141.806,145620.461,24270.0768333333,25126.773,11093.97094762,8641.052,8641.052,15284.19,33658.815,18374.625
E01004335,"1","1",0,0,0,0,0,0,0,0,0,0,0,0
E01004337,"1","1",0,0,0,0,0,0,0,0,0,0,0,0
E01034211,"11","11",1378.121,83014.182,81636.061,305731.976,27793.816,19059.409,26467.6717618827,1378.121,1378.121,7299.7055,39567.795,32268.0895
E01003480,"7","7",1144.226,69019.108,67874.882,285778.069,40825.4384285714,42211.71,22350.3029138939,1144.226,1144.226,27669.0775,59032.435,31363.3575
E01003481,"12","12",412.733,146028.308,145615.575,520289.667,43357.47225,27549.059,41222.01174414,412.733,412.733,14123.802,60577.1865,46453.3845
E01003487,"6","6",5963.237,43878.907,37915.67,124456.285,20742.7141666667,20217.313,13334.0508018682,5963.237,5963.237,6003.534,28175.981,22172.447
E01034206,"8","8",2180.012,284916.486,282736.474,1059392.156,132424.0195,99652.2755,117610.520681507,2180.012,2180.012,18968.46,267527.0935,248558.6335
E01003604,"7","7",18445.536,46411.763,27966.227,221511.006,31644.4294285714,31904.76,7723.87089645579,18445.536,18445.536,28957.186,33417.2875,4460.1015
E01003550,"5","5",333.523,41531.487,41197.964,115792.324,23158.4648,25463.723,16191.1590070095,333.523,333.523,9322.001,39141.59,29819.589
E01003545,"4","4",20575.353,54132.536,33557.183,140795.202,35198.8005,33043.6565,12986.6013207151,20575.353,20575.353,23400.2085,46997.3925,23597.184
E01003535,"11","11",2499.293,114639.981,112140.688,470214.238,42746.7489090909,38694.613,27857.7459532825,2499.293,2499.293,32161.8395,47581.682,15419.8425
E01003624,"5","5",8236.093,42523.978,34287.885,142891.749,28578.3498,34229.893,12044.5927503233,8236.093,8236.093,22437.23,35464.555,13027.325
E01034207,"6","6",6610.065,42960.319,36350.254,137302.704,22883.784,21561.039,10976.9905195665,6610.065,6610.065,18278.274,26331.968,8053.694
E01003502,"8","8",3368.023,39247.19,35879.167,150738.548,18842.3185,18321.047,9879.76941185908,3368.023,3368.023,12878.0835,22862.537,9984.4535
E01003503,"10","10",35.497,42902.42,42866.923,147254.594,14725.4594,6301.217,15810.8573367445,35.497,35.497,791.171,29523.721,28732.55
E01034209,"12","12",192.816,28370.735,28177.919,153383.265,12781.93875,9084.3385,8606.46354663274,192.816,192.816,6527.17,21590.3855,15063.2155
E01003536,"8","8",1905.248,55094.964,53189.716,174792.255,21849.031875,20030.2555,16275.0328212484,1905.248,1905.248,8466.849,30398.917,21932.068
E01003538,"7","7",3183.442,56201.019,53017.577,173925.937,24846.5624285714,20197.496,17940.7831159917,3183.442,3183.442,11724.8115,35447.1785,23722.367
E01003513,"8","8",13786.815,106482.105,92695.29,339599.052,42449.8815,32690.177,28371.715552748,13786.815,13786.815,22838.101,54136.788,31298.687
