FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,HubDist,Distance,NormDist,Accessibility Index,CAI,No Car or vans in household(%),IMD_Rank,IMD_Decile,IMDScore,IMDRank0,IMDDec0,Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score",Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score
3458,E01003629,Newham 015E,,542671,184031,51.5372,0.055747,98.38,336.3781259,0.21,0.79,49.585,0.9917,42.3,9618,3,26.957,9618,3,6,17.2,-0.4,49.6,46.3
3389,E01003552,Newham 016A,,540201,184627,51.5431,0.020394,,761.7362479,0.47,0.53,0.265,0.0053,47.7,8113,3,29.808,8113,3,4,16.3,-0.1,47.9,37.5
3433,E01003596,Newham 016B,,540174,183795,51.5357,0.019674,31.71,588.0941094,0.36,0.64,16.175,0.3235,47.7,10626,4,25.24,10626,4,6,18,0.1,48,28
3434,E01003597,Newham 016C,,540535,183731,51.535,0.02485,16.47,615.4637272,0.38,0.62,8.545,0.1709,47.7,10384,4,25.676,10384,4,6,18.3,-0.3,48.6,27.7
3464,E01003635,Newham 016D,,539940,184058,51.5381,0.016407,3.83,761.7877262,0.47,0.53,2.18,0.0436,47.7,10995,4,24.619,10995,4,5,10.9,-0.5,43.5,28.1
3405,E01003568,Newham 017A,,540862,183816,51.5357,0.029595,96.01,331.4732273,0.2,0.8,48.405,0.9681,47.2,11361,4,24.045,11361,4,5,12.7,-0.1,47.6,28.6
3406,E01003569,Newham 017B,,541044,183980,51.5371,0.032283,99.65,234.8967524,0.14,0.86,50.255,1.0051,47.2,9189,3,27.715,9189,3,6,15,-0.3,50.3,29.7
3410,E01003573,Newham 017C,,540979,184338,51.5403,0.03149,11.71,639.5705719,0.4,0.6,6.155,0.1231,47.2,9549,3,27.069,9549,3,5,20.1,0.2,50,30.1
3411,E01003574,Newham 017D,,540584,184186,51.5391,0.025737,6.24,730.0124249,0.45,0.55,3.395,0.0679,47.2,8339,3,29.332,8339,3,5,17.5,-0.1,50.3,35.7
3357,E01003520,Newham 018A,,542150,184069,51.5376,0.048255,99.54,160.4123272,0.09,0.91,50.225,1.0045,51,9784,3,26.667,9784,3,6,15.1,-0.6,50,27.2
3358,E01003521,Newham 018B,,542572,183804,51.5351,0.054228,56.3,448.6705432,0.28,0.72,28.51,0.5702,51,8772,3,28.488,8772,3,8,13.2,-0.5,51,61.3
3359,E01003522,Newham 018C,,542194,183847,51.5356,0.048799,81.49,419.5433327,0.26,0.74,41.115,0.8223,51,7371,3,31.365,7371,3,5,17.5,0,55.5,41.7
3362,E01003525,Newham 018D,,542343,183605,51.5334,0.050849,0.89,723.8815508,0.45,0.55,0.72,0.0144,51,7708,3,30.664,7708,3,7,17.1,-0.8,50.5,51.3
3363,E01003526,Newham 018E,,542440,183342,51.531,0.05214,,878.2326573,0.55,0.45,0.225,0.0045,51,7996,3,30.073,7996,3,5,17.3,0.1,51.5,36.3
3329,E01003488,Newham 019A,,541709,183657,51.534,0.041735,55.04,459.7820225,0.28,0.72,27.88,0.5576,52,4059,2,40.69,4059,2,2,24.7,0.3,49.5,21.4
3330,E01003489,Newham 019B,,541447,183584,51.5335,0.037931,98.35,253.1120976,0.15,0.85,49.6,0.992,52,6119,2,34.363,6119,2,4,21.8,0,50.9,25.6
3331,E01003490,Newham 019C,,541886,183488,51.5325,0.044217,4.47,614.0133809,0.38,0.62,2.545,0.0509,52,7543,3,31.017,7543,3,5,23.3,-0.1,49.8,30.6
3361,E01003524,Newham 019D,,542046,183617,51.5336,0.046574,0.06,710.2796735,0.44,0.56,0.31,0.0062,52,8734,3,28.552,8734,3,5,22.6,-0.7,49.4,49.4
3460,E01003631,Newham 020A,,539338,183215,51.5307,0.0074,100,240.1646127,0.14,0.86,50.43,1.0086,53,9440,3,27.243,9440,3,5,16.7,-0.2,44.5,37.7
3461,E01003632,Newham 020B,,539688,183337,51.5317,0.01249,100,328.3433012,0.2,0.8,50.4,1.008,53,13571,5,20.975,13571,5,6,14.5,-0.5,45.7,28.4
3462,E01003633,Newham 020C,,539394,183577,51.5339,0.008349,92.61,339.940509,0.21,0.79,46.7,0.934,53,4440,2,39.451,4440,2,2,22.7,0.4,50.7,20.4
3463,E01003634,Newham 020D,,539072,183758,51.5356,0.003782,100,323.8626282,0.2,0.8,50.4,1.008,53,7499,3,31.094,7499,3,3,21.6,0.3,51.6,21
3465,E01003636,Newham 020E,,539385,184010,51.5378,0.008391,31.19,578.2330433,0.36,0.64,15.915,0.3183,53,6945,3,32.341,6945,3,4,17,0.2,46.3,22.8
3435,E01003598,Newham 021A,,540249,183620,51.5341,0.020685,97.61,341.3143721,0.21,0.79,49.2,0.984,52.7,7435,3,31.237,7435,3,3,18.3,0,48.8,22.1
3437,E01003600,Newham 021B,,540243,183339,51.5316,0.020487,93,202.4995554,0.12,0.88,46.94,0.9388,52.7,6130,2,34.336,6130,2,3,23,0.2,49,27.5
3459,E01003630,Newham 021C,,539856,183533,51.5334,0.014988,97.22,257.1578787,0.15,0.85,49.035,0.9807,52.7,8101,3,29.832,8101,3,4,17,-0.1,45.9,25.9
3466,E01003637,Newham 021D,,539811,183780,51.5356,0.014438,66.11,417.9037022,0.26,0.74,33.425,0.6685,52.7,12791,4,21.981,12791,4,7,9.1,-0.1,46.5,31.3
3332,E01003491,Newham 022A,,541240,183621,51.5338,0.034964,91.72,247.2806249,0.15,0.85,46.285,0.9257,52.7,8256,3,29.506,8256,3,5,15,-0.4,47.6,45.9
3429,E01003592,Newham 022B,,540602,183403,51.532,0.025685,30.01,563.3073616,0.35,0.65,15.33,0.3066,52.7,6110,2,34.378,6110,2,4,15.4,0.6,47.4,37.3
3436,E01003599,Newham 022C,,541005,183475,51.5326,0.031519,79.33,384.1869665,0.24,0.76,40.045,0.8009,52.7,7477,3,31.152,7477,3,4,21.5,-0.2,50.7,27.2
32240,E01034201,Newham 022E,,541031,183220,51.5303,0.031792,26.63,553.5630438,0.34,0.66,13.645,0.2729,52.7,8735,3,28.551,8735,3,,,,,
32241,E01034202,Newham 022F,,540995,182984,51.5282,0.031179,,789.6325984,0.49,0.51,0.255,0.0051,52.7,8735,3,28.551,8735,3,,,,,
3372,E01003535,Newham 023A,,543827,182989,51.5275,0.071978,,1594.100169,1,0,0,0,42.4,3580,2,42.56,3580,2,2,32.2,0.5,53.1,30
3373,E01003536,Newham 023B,,543342,182687,51.5249,0.064868,,1138.204227,0.71,0.29,0.145,0.0029,42.4,8245,3,29.531,8245,3,4,21.7,-0.2,46.5,33.8
3450,E01003621,Newham 023C,,543045,183806,51.535,0.061044,,775.281871,0.48,0.52,0.26,0.0052,42.4,12000,4,23.076,12000,4,7,22,-0.2,46.9,25.7
3451,E01003622,Newham 023D,,543459,183821,51.5351,0.067015,,1026.119422,0.64,0.36,0.18,0.0036,42.4,6357,2,33.739,6357,2,4,23.3,0,50.6,32.4
3452,E01003623,Newham 023E,,543560,183425,51.5315,0.068309,,1323.593909,0.83,0.17,0.085,0.0017,42.4,7356,3,31.385,7356,3,4,25.3,0.1,48.6,26.3
3360,E01003523,Newham 024A,,542718,183164,51.5294,0.056073,,954.9876218,0.6,0.4,0.2,0.004,41.9,7292,3,31.507,7292,3,4,17.8,0.1,50.5,31.8
3364,E01003527,Newham 024B,,542432,183056,51.5285,0.051909,,1208.229348,0.76,0.24,0.12,0.0024,41.9,14394,5,19.947,14394,5,7,14.7,-0.6,41.5,37.8
3374,E01003537,Newham 024C,,542461,182728,51.5255,0.052194,,1325.473527,0.83,0.17,0.085,0.0017,41.9,10573,4,25.312,10573,4,6,15.7,0,43.5,42.4
3379,E01003542,Newham 024D,,542955,182907,51.527,0.059383,,1404.572828,0.88,0.12,0.06,0.0012,41.9,6748,3,32.819,6748,3,3,21.6,0.2,47.1,30
3453,E01003624,Newham 024E,,543079,183374,51.5312,0.061359,,1127.108445,0.7,0.3,0.15,0.003,41.9,7229,3,31.648,7229,3,3,23.4,0.1,47.3,26.6
3333,E01003492,Newham 025A,,541747,183067,51.5287,0.042045,,815.2203203,0.51,0.49,0.245,0.0049,41.9,10800,4,24.941,10800,4,7,21.2,-0.1,46.7,43.7
3334,E01003494,Newham 025C,,541699,182800,51.5263,0.041247,,1041.935799,0.65,0.35,0.175,0.0035,41.9,13284,5,21.333,13284,5,7,19.3,-0.8,43.2,40.5
3335,E01003495,Newham 025D,,542018,182841,51.5266,0.045858,,1187.811895,0.74,0.26,0.13,0.0026,41.9,16134,5,17.983,16134,5,7,12.8,-0.6,39.3,36.3
32242,E01034203,Newham 025E,,541612,183341,51.5312,0.040211,15.5,571.310191,0.35,0.65,8.075,0.1615,41.9,9393,3,27.328,9393,3,,,,,
32243,E01034204,Newham 025F,,541941,183202,51.5299,0.044894,,914.4431157,0.57,0.43,0.215,0.0043,41.9,9393,3,27.328,9393,3,,,,,
3431,E01003594,Newham 026A,,540164,182948,51.5281,0.019193,57.46,444.4193666,0.27,0.73,29.095,0.5819,51.4,8396,3,29.213,8396,3,4,14.9,0,49.3,26.6
3432,E01003595,Newham 026B,,540420,183102,51.5294,0.022943,87.12,368.2447544,0.23,0.77,43.945,0.8789,51.4,8140,3,29.76,8140,3,4,18.5,0.3,48.4,32.8
3439,E01003602,Newham 026C,,540730,182460,51.5235,0.027152,,1002.468696,0.63,0.37,0.185,0.0037,51.4,10115,4,26.11,10115,4,5,16.4,0.1,46.8,29.1
3443,E01003607,Newham 026D,,540705,182910,51.5276,0.026972,0.41,733.8992355,0.46,0.54,0.475,0.0095,51.4,7786,3,30.506,7786,3,4,13.3,0,50.2,31.7
3336,E01003496,Newham 027A,,539439,182881,51.5276,0.008723,100,248.8778441,0.15,0.85,50.425,1.0085,54.5,8737,3,28.548,8737,3,3,12.8,-0.1,48,18.4
3338,E01003498,Newham 027B,,539913,182682,51.5257,0.015472,23.3,628.7317493,0.39,0.61,11.955,0.2391,54.5,6586,3,33.218,6586,3,4,20.1,0.3,50.4,18.7
3340,E01003500,Newham 027C,,539039,182529,51.5246,0.002821,70.71,361.0292196,0.22,0.78,35.745,0.7149,54.5,6133,2,34.325,6133,2,3,20.2,0.4,52,29.2
3430,E01003593,Newham 027D,,539917,183105,51.5295,0.015697,100,164.4658016,0.1,0.9,50.45,1.009,54.5,6804,3,32.672,6804,3,3,17.7,0.3,52.7,23.8
3438,E01003601,Newham 028A,,541151,182162,51.5207,0.033097,,1348.886471,0.85,0.15,0.075,0.0015,47.1,5153,2,37.186,5153,2,3,24.8,0.4,46.3,35.9
3440,E01003603,Newham 028B,,541403,182628,51.5249,0.036914,,1248.504038,0.78,0.22,0.11,0.0022,47.1,12180,4,22.804,12180,4,7,15.6,-0.3,45.9,34.8
3442,E01003605,Newham 028C,,541278,183062,51.5288,0.035287,2.55,722.5578119,0.45,0.55,1.55,0.031,47.1,8278,3,29.461,8278,3,4,22.4,-0.3,48.5,38.2
3444,E01003608,Newham 028D,,541192,182719,51.5257,0.033911,,1053.823338,0.66,0.34,0.17,0.0034,47.1,11406,4,23.936,11406,4,8,11.2,-0.3,46.2,45.6
3375,E01003538,Newham 029A,,542715,182564,51.524,0.055787,,1073.634825,0.67,0.33,0.165,0.0033,40.6,7064,3,32.047,7064,3,4,23.1,0.1,49.6,33.6
3376,E01003539,Newham 029B,,541831,182379,51.5225,0.042979,,1486.954669,0.93,0.07,0.035,0.0007,40.6,9378,3,27.345,9378,3,5,18.7,-0.1,46.2,32
3377,E01003540,Newham 029C,,542904,182348,51.522,0.058422,,807.4996779,0.5,0.5,0.25,0.005,40.6,4673,2,38.68,4673,2,3,25.1,0.4,54.1,41.8
3378,E01003541,Newham 029D,,542406,182246,51.5212,0.051207,,1027.400787,0.64,0.36,0.18,0.0036,40.6,9496,3,27.163,9496,3,6,18.8,-0.4,54.7,29.1
3339,E01003499,Newham 030A,,540410,182453,51.5235,0.02254,,887.7555224,0.55,0.45,0.225,0.0045,58.7,4081,2,40.608,4081,2,3,22.4,0.5,50.2,34.7
3341,E01003501,Newham 030B,,539873,182282,51.5221,0.014737,,822.643756,0.51,0.49,0.245,0.0049,58.7,5437,2,36.283,5437,2,3,24,0.1,50.1,24.1
3342,E01003502,Newham 030C,,539982,181959,51.5192,0.016179,30.29,613.8445487,0.38,0.62,15.455,0.3091,58.7,5384,2,36.469,5384,2,4,21.3,0,49.5,36.8
3343,E01003503,Newham 030D,,539512,181779,51.5177,0.009338,73.42,382.4799615,0.23,0.77,37.095,0.7419,58.7,4459,2,39.386,4459,2,2,20.6,0.4,43.2,32.9
3345,E01003507,Newham 031A,,540551,182118,51.5205,0.024438,,1212.783153,0.76,0.24,0.12,0.0024,53.3,6282,2,33.98,6282,2,4,21.7,0.4,47.5,50.2
3346,E01003508,Newham 031B,,540242,181711,51.5169,0.019825,,884.096553,0.55,0.45,0.225,0.0045,53.3,5231,2,36.928,5231,2,4,24.9,0.4,49.2,38.2
3347,E01003509,Newham 031C,,540404,181943,51.519,0.022251,,1002.813681,0.63,0.37,0.185,0.0037,53.3,5736,2,35.443,5736,2,3,22,0.3,43.2,50.9
3441,E01003604,Newham 031D,,540918,181954,51.5189,0.029658,,1019.006545,0.64,0.36,0.18,0.0036,53.3,5642,2,35.681,5642,2,4,21.2,0.3,49.7,41.5
3324,E01003483,Newham 032A,,542083,181918,51.5183,0.046423,,1028.696672,0.64,0.36,0.18,0.0036,39.6,5149,2,37.192,5149,2,3,24.6,0.2,57.8,16.3
