lsoa21cd,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
E01003494,"9","9",414.285,59339.084,58924.799,94717.261,10524.1401111111,2922.897,17709.1403866565,414.285,414.285,1431.904,10708.635,9276.731
E01003607,"8","8",97.433,62381.846,62284.413,122168.921,15271.115125,4445.468,20077.5992641383,97.433,97.433,1500.0585,23899.2945,22399.236
E01003542,"8","8",1902.072,47080.507,45178.435,106085.123,13260.640375,6623.9665,14387.3390829306,1902.072,1902.072,3160.4355,18766.87,15606.4345
E01003535,"8","8",1585.733,67934.233,66348.5,221683.124,27710.3905,23760.4745,23911.346568715,1585.733,1585.733,3191.118,49129.9865,45938.8685
E01003593,"4","4",2920.826,27053.875,24133.049,63196.839,15799.20975,16611.069,10343.7014918657,2920.826,2920.826,5671.284,25927.1355,20255.8515
E01003594,"5","5",2482.186,39660.246,37178.06,91602.645,18320.529,8081.051,17148.0992490669,2482.186,2482.186,2689.884,38689.278,35999.394
E01034201,"3","3",5552.957,12276.02,6723.063,26607.28,8869.09333333333,8778.303,2745.42967966307,5552.957,5552.957,7165.63,10527.1615,3361.5315
E01034202,"6","6",1469.517,33049.469,31579.952,61577.133,10262.8555,3573.0905,11539.108850705,1469.517,1469.517,2450.727,17461.239,15010.512
E01003527,"3","3",624.928,7979.585,7354.657,15924.096,5308.032,7319.583,3322.3985277821,624.928,624.928,3972.2555,7649.584,3677.3285
E01003537,"5","5",302.263,24487.529,24185.266,52609.891,10521.9782,8048.47,9729.7883421914,302.263,302.263,749.703,19021.926,18272.223
E01003608,"2","2",1513.747,16706.617,15192.87,18220.364,9110.182,9110.182,7596.435,1513.747,1513.747,1513.747,16706.617,15192.87
E01003603,"8","8",2801.394,64046.001,61244.607,157803.726,19725.46575,10313.005,20360.1912856284,2801.394,2801.394,6687.9505,28477.21,21789.2595
E01003602,"6","6",942.741,42436.912,41494.171,110739.416,18456.5693333333,12863.225,16768.8319708875,942.741,942.741,2968.144,38665.169,35697.025
E01034205,"19","19",1975.402,234194.556,232219.154,521996.888,27473.5204210526,9607.581,50732.4255728486,1975.402,1975.402,4852.461,25309.9945,20457.5335
E01003495,"2","2",8408.043,21025.605,12617.562,29433.648,14716.824,14716.824,6308.781,8408.043,8408.043,8408.043,21025.605,12617.562
E01003496,"3","3",11660.419,21826.301,10165.882,53485.721,17828.5736666667,19999.001,4424.8808131927,11660.419,11660.419,15829.71,20912.651,5082.941
E01003500,"10","10",4769.735,122987.665,118217.93,297716.664,29771.6664,12919.979,35079.4533549279,4769.735,4769.735,4919.131,48105.977,43186.846
E01003601,"9","9",502.953,97420.316,96917.363,232454.282,25828.2535555556,13190.022,29869.1424081151,502.953,502.953,7334.377,23612.395,16278.018
E01003536,"8","8",13.42,48059.795,48046.375,119559.874,14944.98425,2959.003,19669.6189454935,13.42,13.42,782.838,32001.4885,31218.6505
E01003538,"7","7",843.916,57501.993,56658.077,123185.146,17597.878,10848.545,18944.7957671124,843.916,843.916,4631.3855,22363.9605,17732.575
E01003539,"8","8",5.094,74459.754,74454.66,159726.351,19965.793875,10732.984,23743.4924984086,5.094,5.094,3411.634,28486.1335,25074.4995
E01003507,"10","10",12.954,48510.23,48497.276,122504.946,12250.4946,5270.276,14923.7568046326,12.954,12.954,1760.411,23399.001,21638.59
E01003499,"6","6",2547.461,63620.387,61072.926,127847.854,21307.9756666667,9834.844,22321.8505019759,2547.461,2547.461,4038.692,37971.626,33932.934
E01003497,"10","10",743.773,148808.886,148065.113,372282.484,37228.2484,9487.6165,49661.9351618665,743.773,743.773,3606.33,63829.546,60223.216
E01003501,"5","5",2404.74,36577.907,34173.167,76257.341,15251.4682,4920.836,14703.8791361612,2404.74,2404.74,2896.681,29457.177,26560.496
