FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,5min_Coverage_p,HubDist,Distance,NormDist,Accessibility Index,No Car or vans in household(%),IMD Score,NormIMD,Income Score (rate),Income Decile (where 1 is most deprived 10% of LSOAs),Income Rank,Employment Score (rate),Employment Decile (where 1 is most deprived 10% of LSOAs),Education Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score,5min_Coverage_p
3328,E01003487,Newham 033D,,543528,181458,51.5138,0.067048,64,131.9126119,0.19,0.81,32.405,45.9,43.6,0.892030848,0.3,1,,0.2,1,29,0.7,48.2,17,64
3441,E01003604,Newham 031D,,540918,181954,51.5189,0.029658,55,25.46000833,0.02,0.98,27.99,53.3,35.7,0.688946015,0.2,3,,0.1,4,21.2,0.3,49.7,41.5,55
3387,E01003550,Newham 001D,,540300,185913,51.5547,0.022333,82,80.83607988,0.11,0.89,41.445,47.7,27,0.46529563,0.2,3,,0.1,5,15.4,-0.3,50.8,35,82
3382,E01003545,Newham 006A,,539867,185291,51.5492,0.015845,42,202.4027907,0.31,0.69,21.345,53.7,27.2,0.470437018,0.1,4,,0.1,5,14.4,0.1,49.3,24,42
3372,E01003535,Newham 023A,,543827,182989,51.5275,0.071978,42,298.2995496,0.46,0.54,21.27,42.4,42.6,0.866323907,0.3,2,,0.2,2,32.2,0.5,53.1,30,42
3453,E01003624,Newham 024E,,543079,183374,51.5312,0.061359,50,166.754754,0.25,0.75,25.375,41.9,31.6,0.583547558,0.2,3,,0.1,3,23.4,0.1,47.3,26.6,50
3342,E01003502,Newham 030C,,539982,181959,51.5192,0.016179,91,72.09229784,0.09,0.91,45.955,58.7,36.5,0.709511568,0.2,2,,0.1,4,21.3,0,49.5,36.8,91
3343,E01003503,Newham 030D,,539512,181779,51.5177,0.009338,96,37.34233557,0.03,0.97,48.485,58.7,39.4,0.784061697,0.2,2,,0.2,2,20.6,0.4,43.2,32.9,96
3373,E01003536,Newham 023B,,543342,182687,51.5249,0.064868,68,127.8575025,0.18,0.82,34.41,42.4,29.5,0.529562982,0.2,3,,0.1,4,21.7,-0.2,46.5,33.8,68
3375,E01003538,Newham 029A,,542715,182564,51.524,0.055787,70,181.4795198,0.27,0.73,35.365,40.6,32,0.593830334,0.2,3,,0.1,4,23.1,0.1,49.6,33.6,70
3350,E01003513,Newham 035D,,541939,181383,51.5135,0.044134,56,26.76000647,0.02,0.98,28.49,39.9,22.2,0.341902314,0.1,5,,0.1,7,11.7,-0.4,56.4,20.4,56
3427,E01003590,Newham 003D,,541939,185859,51.5538,0.045936,67,65.30721321,0.08,0.92,33.96,45.7,38.3,0.755784062,0.2,2,,0.1,3,17.8,0.6,52.1,26.3,67
3321,E01003479,Newham 035A,,542478,181238,51.5121,0.051837,30,321.5510803,0.5,0.5,15.25,39.9,30.1,0.544987147,0.2,4,,0.1,4,14.2,-0.5,63.9,23.1,30
3337,E01003497,Newham 034A,,538951,181936,51.5193,0.00132,50,187.7332374,0.28,0.72,25.36,63.1,33.3,0.627249357,0.2,3,,0.1,4,26.4,0.3,47.4,27.9,50
